episode,agent_id,mean_difference,std_difference,truthful_count,truthful_pct,num_samples
3040,1,0.17928449064493182,0.26951405099487696,3,15.0,20
3040,0,-0.052464368939399694,0.1282431550969772,5,25.0,20
3040,1,0.05975220501422884,0.18186378774591003,4,20.0,20
3080,0,-0.06055947002023456,0.11308419947699881,5,25.0,20
3080,1,0.09361666813492778,0.18858516522645022,6,30.0,20
3080,0,-0.05360991060733793,0.1132652534139951,7,35.0,20
3080,1,-0.008831664780154796,0.16850761310181125,3,15.0,20
3120,0,0.06987929567694666,0.1500384321025708,5,25.0,20
3120,1,-0.02856073486618695,0.15463563947936979,8,40.0,20
3120,0,-0.007045985385775541,0.13764113358043242,8,40.0,20
3120,1,-0.05711651518940923,0.13644768715301472,6,30.0,20
3160,0,0.016135568171739605,0.14242795030938338,2,10.0,20
3160,1,-0.08626191727817056,0.19552424500625235,3,15.0,20
3160,0,-0.08844886794686316,0.1310954494751353,5,25.0,20
3160,1,-0.1169106383807957,0.16651168196859356,1,5.0,20
3200,0,0.005758764222264315,0.14812278301011633,5,25.0,20
3200,1,-0.04139513038098809,0.14468542439849674,3,15.0,20
3200,0,0.011172630637884165,0.09521858070512591,5,25.0,20
3200,1,0.015566761046648054,0.17914521279602108,3,15.0,20
3240,0,-0.15838217753916978,0.12092774278847285,5,25.0,20
3240,1,-0.022013761103153204,0.16641543856437263,3,15.0,20
3240,0,-0.08617277741432187,0.14092108820527927,4,20.0,20
3240,1,0.0004834670573473199,0.16648800287176993,8,40.0,20
3280,0,-0.015405908599495862,0.13605889350846365,6,30.0,20
3280,1,0.018653733655810384,0.15896660638630128,4,20.0,20
3280,0,-0.04495949968695638,0.1657018671648055,4,20.0,20
3280,1,0.08215419179759922,0.2050484902936157,6,30.0,20
3320,0,0.013402843475341823,0.1536051074570316,7,35.0,20
3320,1,0.039335188642144234,0.19289825524522936,6,30.0,20
3320,0,0.07383888959884646,0.14017213343679372,4,20.0,20
3320,1,0.012330581247806578,0.1572924702431537,4,20.0,20
3360,0,-0.0645601838827133,0.12127924410567048,3,15.0,20
3360,1,-0.06332047600299118,0.12393067636722431,6,30.0,20
3360,0,-0.023003303259611106,0.13383655681446718,7,35.0,20
3360,1,-0.054831121535971736,0.09802027589771382,5,25.0,20
3400,0,-0.04923647716641423,0.20270324458160188,4,20.0,20
3400,1,-0.04980259444564578,0.12557498465652825,6,30.0,20
3400,0,-0.08461675923317669,0.11815249586531432,3,15.0,20
3400,1,-0.088422330096364,0.1335458137605509,3,15.0,20
3440,0,-0.058953396230936025,0.10087097008482766,6,30.0,20
3440,1,-0.06580288186669347,0.16149057678500006,5,25.0,20
3440,0,-0.034363861382007574,0.11221022572388721,5,25.0,20
3440,1,-0.06576169990003107,0.1503016431725381,3,15.0,20
3480,0,-0.02945853024721143,0.10133474383632687,9,45.0,20
3480,1,-0.04981190338730809,0.07896198529127438,10,50.0,20
3480,0,0.0200852379202843,0.15144563337558362,7,35.0,20
3480,1,-0.018185494095087025,0.10517767059877656,10,50.0,20
3520,0,-0.09135655015707014,0.16660846222365458,2,10.0,20
3520,1,-0.044504436850547766,0.12681576146565082,6,30.0,20
3520,0,-0.13186576664447783,0.18425828034062747,2,10.0,20
3520,1,0.03636484518647197,0.143369741009699,4,20.0,20
3560,0,-0.18283236175775525,0.14779493463336993,3,15.0,20
3560,1,0.02376505695283416,0.14023677092530182,3,15.0,20
3560,0,-0.14603271037340163,0.20473355343987287,2,10.0,20
3560,1,-0.01665796339511869,0.13136786651110222,2,10.0,20
3600,0,-0.08675116300582883,0.2445988199412773,3,15.0,20
3600,1,0.026032765582203892,0.16791752789657574,3,15.0,20
3600,0,-0.1091968974098563,0.20935680549857158,4,20.0,20
3600,1,-0.035949409380555124,0.11929249520474064,8,40.0,20
3640,0,-0.07527979463338849,0.159061115138344,2,10.0,20
3640,1,-0.02805936262011526,0.1096769095515181,4,20.0,20
3640,0,-0.09135521613061426,0.16467498145856427,4,20.0,20
3640,1,0.04319526329636576,0.15422769676146084,3,15.0,20
3680,0,-0.08267811574041842,0.19392301096977232,6,30.0,20
3680,1,-0.04681369047611949,0.13441236007702975,5,25.0,20
3680,0,-0.056265100836753824,0.11628258009497042,8,40.0,20
3680,1,-0.02556106001138685,0.13527155595050394,8,40.0,20
3720,0,-0.03798291720449922,0.13443155870933873,7,35.0,20
3720,1,0.04967467635869982,0.14138001997859542,3,15.0,20
3720,0,-0.0035242684185504665,0.12956743151800745,4,20.0,20
3720,1,-0.004037674516439413,0.1298035660192436,6,30.0,20
3760,0,-0.08310558050870893,0.11970277927028378,6,30.0,20
3760,1,-0.06929775513708589,0.10986883624996868,8,40.0,20
3760,0,-0.11940214298665522,0.13863129162016077,2,10.0,20
3760,1,-0.09417957905679938,0.10192941794908872,4,20.0,20
3800,0,-0.02505436614155767,0.1621029455823979,5,25.0,20
3800,1,-0.05754184983670709,0.09024692039353253,7,35.0,20
3800,0,-0.06285437047481535,0.1578344569855753,4,20.0,20
3800,1,-0.037329225987195944,0.10436648539629063,6,30.0,20
3840,0,0.0038798794150352728,0.11842628941603295,10,50.0,20
3840,1,-0.07058050483465192,0.10772114842145115,5,25.0,20
3840,0,-0.022801270149648164,0.0896178475144509,7,35.0,20
3840,1,-0.05806778222322462,0.11101938468258846,3,15.0,20
3880,0,-0.07930338345468042,0.17853207400149726,5,25.0,20
3880,1,-0.02079169207718221,0.12149670743189504,7,35.0,20
3880,0,-0.047989510744810074,0.08074696333113342,7,35.0,20
3880,1,-0.030145631171762922,0.14149569242986118,4,20.0,20
3920,0,-0.020671545714139913,0.1362193941199703,4,20.0,20
3920,1,0.010483548417687444,0.12785308849527224,4,20.0,20
3920,0,-0.0009277511388063181,0.10269177730141274,9,45.0,20
3920,1,-0.024293479323387122,0.12785869106770625,4,20.0,20
3960,0,-0.0654252767562866,0.1439913256556764,5,25.0,20
3960,1,-0.13237520051188764,0.12560032266174442,3,15.0,20
3960,0,0.03134402781724933,0.159631125311602,3,15.0,20
3960,1,-0.09632414877414701,0.12369913372321178,4,20.0,20
4000,0,-0.04747748747467992,0.18212507161537847,3,15.0,20
4000,1,0.014106986857950716,0.1273520426029146,7,35.0,20
4000,0,-0.038119242340326286,0.14484537609187356,6,30.0,20
4000,1,-0.05495794117450712,0.13148242130020674,7,35.0,20
4040,0,-0.03186097778379915,0.1805261892879917,5,25.0,20
4040,1,0.013041771948337577,0.1141458881773334,6,30.0,20
4040,0,-0.028711529448628405,0.15058763825115706,3,15.0,20
4040,1,0.017050713300704984,0.14903931451228017,2,10.0,20
4080,0,-0.04366799145936963,0.09898943471724907,6,30.0,20
4080,1,0.021619626134634046,0.1850960226119273,4,20.0,20
4080,0,-0.03968875557184216,0.1382128077739008,2,10.0,20
4080,1,-0.04571912214159963,0.107795782969476,7,35.0,20
4120,0,0.043958041816949865,0.11024830596218449,10,50.0,20
4120,1,-0.012078186869621251,0.10283998385593962,8,40.0,20
4120,0,-0.012299052625894522,0.09359757798757179,8,40.0,20
4120,1,-0.02229692973196504,0.08981882553500455,11,55.00000000000001,20
4160,0,0.04058614224195483,0.1695029956489868,5,25.0,20
4160,1,0.010590327531099345,0.13274172113551766,6,30.0,20
4160,0,-0.032644243165850614,0.14914507137355196,4,20.0,20
4160,1,-0.030427712947130175,0.11312293662786135,10,50.0,20
4200,0,0.025817763060331372,0.11897002310598748,6,30.0,20
4200,1,-0.03507045730948446,0.16067556481303719,2,10.0,20
4200,0,0.004852034896612192,0.11231329609863007,8,40.0,20
4200,1,-0.02991048842668531,0.139171732594033,4,20.0,20
4240,0,-0.03978930637240407,0.11946487437309308,3,15.0,20
4240,1,0.012521728500723866,0.1066321312831385,7,35.0,20
4240,0,-0.02689103037118909,0.1273423928383691,5,25.0,20
4240,1,0.043983226642012624,0.15595092385815548,3,15.0,20
4280,0,-0.11281976308673618,0.12262716465381165,2,10.0,20
4280,1,0.05079118125140669,0.10446490713715192,3,15.0,20
4280,0,-0.12813177816569804,0.1485280414564186,2,10.0,20
4280,1,0.09336519986391068,0.13715517722685303,5,25.0,20
4320,0,-0.037572904676198934,0.16367404303352356,3,15.0,20
4320,1,0.09311944320797923,0.12795425529297277,2,10.0,20
4320,0,-0.09915192667394875,0.12402512369953854,5,25.0,20
4320,1,0.13175095692276956,0.16749071891046702,2,10.0,20
4360,0,-0.08485575467348097,0.1224574224885714,2,10.0,20
4360,1,-0.05074682459235189,0.093290867819203,2,10.0,20
4360,0,-0.018812623247504205,0.1166544179715323,3,15.0,20
4360,1,-0.02760826479643581,0.1548426546089314,5,25.0,20
4400,0,0.0028057307004928866,0.12586954259684988,4,20.0,20
